filter,wavelength,throughput,lambda_c,speclite_filter,source
u,0.31990000000000446,0.0,0.3745700760437951,lsst2023-u,lsst2023
u,0.3200000000000045,1.2722411862695854e-18,0.3745700760437951,lsst2023-u,lsst2023
u,0.3201000000000045,3.3828906912305605e-08,0.3745700760437951,lsst2023-u,lsst2023
u,0.32020000000000454,8.105575010853388e-08,0.3745700760437951,lsst2023-u,lsst2023
u,0.3203000000000045,1.4445078584801978e-07,0.3745700760437951,lsst2023-u,lsst2023
u,0.32040000000000457,2.271046784271956e-07,0.3745700760437951,lsst2023-u,lsst2023
u,0.3205000000000046,3.324469887924082e-07,0.3745700760437951,lsst2023-u,lsst2023
u,0.32060000000000466,4.650236836252534e-07,0.3745700760437951,lsst2023-u,lsst2023
u,0.32070000000000465,6.287539591394464e-07,0.3745700760437951,lsst2023-u,lsst2023
u,0.3208000000000047,8.283557763031786e-07,0.3745700760437951,lsst2023-u,lsst2023
u,0.3209000000000047,1.0689906579382723e-06,0.3745700760437951,lsst2023-u,lsst2023
u,0.3210000000000047,1.3562866208778777e-06,0.3745700760437951,lsst2023-u,lsst2023
u,0.3211000000000047,1.7382427555050511e-06,0.3745700760437951,lsst2023-u,lsst2023
u,0.32120000000000476,2.1906276472605853e-06,0.3745700760437951,lsst2023-u,lsst2023
u,0.32130000000000475,2.720817259288728e-06,0.3745700760437951,lsst2023-u,lsst2023
u,0.3214000000000048,3.3365122586066983e-06,0.3745700760437951,lsst2023-u,lsst2023
u,0.32150000000000484,4.045743337485347e-06,0.3745700760437951,lsst2023-u,lsst2023
u,0.3216000000000049,4.824514182414484e-06,0.3745700760437951,lsst2023-u,lsst2023
u,0.32170000000000487,5.701866827988874e-06,0.3745700760437951,lsst2023-u,lsst2023
u,0.3218000000000049,6.684603249429582e-06,0.3745700760437951,lsst2023-u,lsst2023
u,0.3219000000000049,7.779661716687781e-06,0.3745700760437951,lsst2023-u,lsst2023
u,0.32200000000000495,8.994114585803342e-06,0.3745700760437951,lsst2023-u,lsst2023
u,0.32210000000000494,1.045901769825142e-05,0.3745700760437951,lsst2023-u,lsst2023
u,0.322200000000005,1.2084535920922277e-05,0.3745700760437951,lsst2023-u,lsst2023
u,0.322300000000005,1.388078667736946e-05,0.3745700760437951,lsst2023-u,lsst2023
u,0.32240000000000507,1.585813598655208e-05,0.3745700760437951,lsst2023-u,lsst2023
u,0.32250000000000506,1.802719946112174e-05,0.3745700760437951,lsst2023-u,lsst2023
u,0.3226000000000051,2.0570803181250923e-05,0.3745700760437951,lsst2023-u,lsst2023
