wavelength,throughput,filter,lambda_c
0.7475499877929688,0,F090W,0.902
0.7485499877929688,0,F090W,0.902
0.7495499877929688,4.02155383772693e-7,F090W,0.902
0.7505499877929688,4.2333613737063297e-7,F090W,0.902
0.7515499877929688,4.518850310932095e-7,F090W,0.902
0.7525499877929688,4.301490322341029e-7,F090W,0.902
0.7535499877929688,4.6507654409188194e-7,F090W,0.902
0.7545499877929688,4.472757871037065e-7,F090W,0.902
0.7555499877929688,4.487261803270142e-7,F090W,0.902
0.7565499877929688,4.1609644813238586e-7,F090W,0.902
0.7575499877929688,4.560311344305612e-7,F090W,0.902
0.7585499877929688,5.049716700003222e-7,F090W,0.902
0.7595499877929688,5.07428527751523e-7,F090W,0.902
0.7605499877929688,5.251204763464739e-7,F090W,0.902
0.7615499877929688,5.166069277751511e-7,F090W,0.902
0.7625499877929688,5.793150521890152e-7,F090W,0.902
0.7635499877929688,5.762321008582806e-7,F090W,0.902
0.7645499877929688,5.913639200593607e-7,F090W,0.902
0.7655499877929688,6.188024359738832e-7,F090W,0.902
0.7665499877929688,6.289359906052868e-7,F090W,0.902
0.7675499877929688,6.818278324113106e-7,F090W,0.902
0.7685499877929688,7.274657507715283e-7,F090W,0.902
0.7695499877929688,9.555463460530037e-7,F090W,0.902
0.7705499877929688,1.0992179097585824e-6,F090W,0.902
0.7715499877929688,1.4884389722685246e-6,F090W,0.902
0.7725499877929688,1.9677283532778493e-6,F090W,0.902
0.7735499877929688,2.9080598362222137e-6,F090W,0.902
0.7745499877929688,4.393932643485976e-6,F090W,0.902
0.7755499877929688,6.489871218036662e-6,F090W,0.902
0.7765499877929688,9.420480014791377e-6,F090W,0.902
0.7775499877929688,1.334240211643639e-5,F090W,0.902
0.7785499877929688,1.876655648128745e-5,F090W,0.902
0.7795499877929688,2.547146756697893e-5,F090W,0.902
0.7805499877929688,3.575339172916965e-5,F090W,0.902
0.7815499877929688,5.09763664514373e-5,F090W,0.902
0.7825499877929688,7.68308828770615e-5,F090W,0.902
0.7835499877929688,1.2756173057886e-4,F090W,0.902
0.7845499877929687,2.2114331886105e-4,F090W,0.902
0.7855499877929687,4.3054893258334e-4,F090W,0.902
0.7865499877929687,9.3486556022079e-4,F090W,0.902
0.7875499877929687,0.00212153039945525,F090W,0.902
0.7885499877929687,0.00500202429390294,F090W,0.902
0.7895499877929687,0.01176571362889495,F090W,0.902
0.7905499877929687,0.02482309838765797,F090W,0.902
0.7915499877929687,0.04660641217154296,F090W,0.902
0.7925499877929687,0.07676213322797999,F090W,0.902
0.7935499877929687,0.11355563022970176,F090W,0.902
0.7945499877929687,0.14991750349069005,F090W,0.902
